datetime,open,high,low,close,volume
2023-01-04,8.050000190734863,8.4399995803833,7.230000019073486,7.34499979019165,553550
2023-01-05,7.739999771118164,7.739999771118164,7.085000038146973,7.46999979019165,225260
2023-01-06,7.650000095367432,7.650000095367432,7.199999809265137,7.255000114440918,106000
2023-01-09,7.329999923706055,7.420000076293945,7.114999771118164,7.224999904632568,87160
2023-01-10,7.105000019073486,7.304999828338623,7.025000095367432,7.070000171661377,180230
2023-01-11,7.03000020980835,7.275000095367432,7.03000020980835,7.175000190734863,91600
2023-01-12,7.364999771118164,7.364999771118164,6.994999885559082,7.045000076293945,63110
2023-01-13,7.050000190734863,7.09499979019165,6.699999809265137,6.800000190734863,154800
2023-01-16,6.940000057220459,7.789999961853027,6.889999866485596,7.324999809265137,394680
2023-01-17,7.590000152587891,7.590000152587891,7.260000228881836,7.360000133514404,188730
2023-01-18,7.349999904632568,7.690000057220459,7.125,7.204999923706055,249630
2023-01-19,7.284999847412109,7.409999847412109,7.105000019073486,7.309999942779541,126180
2023-01-20,7.324999809265137,7.570000171661377,7.315000057220459,7.375,178720
2023-01-23,7.385000228881836,7.485000133514404,7.239999771118164,7.289999961853027,66660
2023-01-24,7.204999923706055,7.380000114440918,6.949999809265137,7.090000152587891,141670
2023-01-25,7.09499979019165,7.175000190734863,6.885000228881836,6.920000076293945,161340
2023-01-27,7.114999771118164,7.130000114440918,6.704999923706055,7.074999809265137,123490
2023-01-30,7.324999809265137,7.324999809265137,6.699999809265137,6.809999942779541,173480
2023-01-31,6.824999809265137,7.085000038146973,6.635000228881836,7.010000228881836,158250
2023-02-01,7.125,7.15500020980835,6.800000190734863,6.965000152587891,211790
2023-02-02,6.960000038146973,6.960000038146973,6.730000019073486,6.775000095367432,184850
2023-02-03,6.929999828338623,6.989999771118164,6.715000152587891,6.75,141830
2023-02-06,7.159999847412109,7.159999847412109,6.730000019073486,6.804999828338623,124540
2023-02-07,6.925000190734863,6.925000190734863,6.699999809265137,6.78000020980835,79880
2023-02-08,6.820000171661377,6.989999771118164,6.800000190734863,6.885000228881836,111500
2023-02-09,6.835000038146973,6.835000038146973,6.730000019073486,6.78000020980835,87630
2023-02-10,6.804999828338623,8.079999923706055,6.769999980926514,7.110000133514404,1613070
2023-02-13,7.199999809265137,7.199999809265137,6.864999771118164,6.900000095367432,134750
2023-02-14,6.820000171661377,7.375,6.585000038146973,6.880000114440918,150750
2023-02-15,7.0,7.0,6.590000152587891,6.684999942779541,107160
2023-02-16,6.894999980926514,6.974999904632568,6.710000038146973,6.78000020980835,63530
2023-02-17,6.864999771118164,6.864999771118164,6.550000190734863,6.574999809265137,155840
2023-02-20,6.510000228881836,6.730000019073486,6.414999961853027,6.449999809265137,352190
2023-02-21,6.574999809265137,6.574999809265137,6.295000076293945,6.394999980926514,268330
2023-02-22,6.295000076293945,6.614999771118164,6.295000076293945,6.400000095367432,354210
2023-02-23,6.5,6.590000152587891,6.144999980926514,6.329999923706055,408980
2023-02-24,6.329999923706055,6.480000019073486,6.15500020980835,6.25,116010
2023-02-27,6.275000095367432,6.449999809265137,6.119999885559082,6.264999866485596,108980
2023-02-28,6.425000190734863,6.505000114440918,6.349999904632568,6.40500020980835,178000
2023-03-01,6.480000019073486,6.525000095367432,6.210000038146973,6.409999847412109,114540
2023-03-02,6.489999771118164,6.650000095367432,6.309999942779541,6.335000038146973,466760
2023-03-03,6.349999904632568,6.489999771118164,6.300000190734863,6.460000038146973,225220
2023-03-06,6.574999809265137,6.574999809265137,6.409999847412109,6.465000152587891,443520
2023-03-08,6.465000152587891,6.625,6.284999847412109,6.474999904632568,393710
2023-03-09,6.639999866485596,6.690000057220459,6.369999885559082,6.465000152587891,720720
2023-03-10,6.440000057220459,6.539999961853027,6.364999771118164,6.429999828338623,168690
2023-03-13,6.59499979019165,6.59499979019165,6.190000057220459,6.414999961853027,268460
2023-03-14,6.445000171661377,6.480000019073486,6.244999885559082,6.335000038146973,224760
2023-03-15,6.565000057220459,6.565000057220459,6.034999847412109,6.135000228881836,195250
2023-03-16,6.394999980926514,6.394999980926514,6.079999923706055,6.260000228881836,121540
